Column,Coverage
PM-PM-1070-N-A1,60253496.58
PM-PM-1079-N-A1,31105414.9
PM-PM-1036-N-A1,49373733.96
PM-PM-1083-N-A1,50548943.14999999
PM-PM-1035-N-A1,52170876.5
PM-PB-1063-N-A1,98285348.75000001
PM-PB-1065-N-A1,107767518.51000002
PM-PM-1007-N-A1,48313896.37
PM-PM-1064-N-A1,71731714.23
PM-PM-1097-N-A1,46065058.92000001
PM-PB-1128-N-A1,66114858.82000001
PM-PB-1150-N-A1,60200139.230000004
PM-PB-1089-N-A1,84337089.19
PM-PB-1067-N-A1,91053321.75999999
PM-PB-1126-N-A1,84509428.46000001
PM-PB-1139-N-A1,59833208.389999986
PM-PB-1145-N-A1,60382689.86
PM-PB-1146-N-A1,67127716.08
PM-PM-1023-N-A1,55467770.2
PM-PB-1143-N-A1,72243493.99
PM-PB-1090-N-A1,111662605.71999998
PM-PB-1112-N-A1,71337934.42
PM-PB-1117-N-A1,61144412.169999994
PM-PB-1062-N-A1,114569106.02000001
PM-PB-1144-N-A1,69759306.04
PM-PB-1127-N-A1,79116114.57
PM-PB-1140-N-A1,70739440.46
PM-PB-1148-N-A1,66023481.91
PM-PB-1147-N-A1,64214158.17
PM-PB-1106-N-A1,82775262.16
PM-PB-1058-N-A1,77414664.35
PM-PB-1149-N-A1,66906835.21999999
PM-PM-1092-N-A1,51458517.699999996
PM-PB-1041-N-A1,52346368.71000001
PM-PM-1091-N-A1,41074796.82
PM-PM-1073-N-A1,76329718.83999999
PM-PM-1093-N-A1,60260435.14999999
PM-PM-1141-N-A1,57551256.92
PM-PM-1085-N-A1,44837817.13
PM-PB-1092-N-A1,71385283.61
PM-PB-1157-N-A1,62166231.650000006
PM-PB-1111-N-A1,72957357.77000001
PM-PM-1022-N-A1,51661262.749999985
PM-PB-1059-N-A1,80153157.89000002
PM-PM-1080-N-A1,56141693.9
PM-PB-1141-N-A1,63004815.37999999
PM-PB-1066-N-A1,91254194.62
PM-PB-1061-N-A1,104738153.07000001
PM-PB-1122-N-A1,89439208.64000003
PM-PB-1107-N-A1,76568467.92
PM-PB-1068-N-A1,64147190.940000005
PM-PM-1095-N-A1,44459864.00000001
PM-PM-1081-N-A1,48975008.3
PM-PB-1064-N-A1,114776899.45000002
PM-PB-1123-N-A1,87216038.07000001
PM-PM-1075-N-A1,49679560.22
PM-PB-1116-N-A1,84421889.87
PM-PB-1129-N-A1,96755259.69000003
PM-PB-1109-N-A1,78929058.65
PM-PB-1110-N-A1,58396551.470000006
PM-PB-1124-N-A1,84881754.3
PM-PB-1119-N-A1,100553374.88
PM-PB-1113-N-A1,80475932.66999999
PM-PM-1056-N-A1,65813548.24
PM-PM-1027-N-A1,46852055.95
PM-PM-1153-N-A1,55873994.71999999
PM-PB-1087-N-A1,86165744.2
PM-PM-1057-N-A1,61754802.46000001
PM-PM-1059-N-A1,186550512.90000004
PM-PM-1074-N-A1,76581779.06
PM-PM-1013-N-A1,51590199.45
PM-PM-1012-N-A1,51957640.82999999
PM-PM-1030-N-A1,51616296.53000001
PM-PM-1105-N-A1,41653767.650000006
PM-PM-1058-N-A1,45226546.959999986
PM-PB-1070-N-A1,66935707.08
PM-PB-1086-N-A1,79525191.44999999
PM-PB-1091-N-A1,97037678.14000002
PM-PB-1074-N-A1,78027888.82
PM-PM-1072-N-A1,61642004.18000001
PM-PB-1075-N-A1,71436203.25
PM-PM-1113-N-A1,45643734.309999995
PM-PM-1026-N-A1,45441112.11
PM-PM-1052-N-A1,52222805.28
PM-PB-1026-N-A1,39452865.77
PM-PM-1077-N-A1,38262479.309999995
PM-PB-1071-N-A1,61352720.65
PM-PB-1034-N-A1,50125062.23000001
PM-PB-1082-N-A1,67357963.29999998
PM-PB-1077-N-A1,71429180.2
PM-PM-1003-N-A1,37351666.28
PM-PB-1160-N-A1,64465545.83999999
PM-PB-1098-N-A1,72566814.71000001
PM-PB-1120-N-A1,81848917.18
PM-PB-1101-N-A1,53865031.629999995
PM-PB-1105-N-A1,65633615.41
PM-PB-1103-N-A1,65182406.25
PM-PM-1068-N-A1,72104141.52
PM-PM-1060-N-A1,128397757.63
PM-PM-1069-N-A1,73189890.24
PM-PB-1093-N-A1,67770198.09
PM-PB-1118-N-A1,58993076.74999999
PM-PM-1041-N-A1,44028234.45999999
PM-PB-1114-N-A1,69889252.86999999
PM-PB-1072-N-A1,75128146.61999999
PM-PB-1002-N-A1,36400630.5
PM-PM-1044-N-A1,41427145.790000014
PM-PB-1085-N-A1,87158268.00999999
PM-PM-1006-N-A1,40408089.940000005
PM-PM-1047-N-A1,45639963.230000004
PM-PB-1104-N-A1,50538652.099999994
PM-PB-1069-N-A1,71580444.62
PM-PB-1084-N-A1,47712020.57
PM-PB-1102-N-A1,45246048.68999999
PM-PB-1096-N-A1,54723422.33999999
PM-PM-1049-N-A1,44289120.15
PM-PB-1100-N-A1,60782872.690000005
PM-PB-1078-N-A1,59690758.69
PM-PM-1109-N-A1,37042108.800000004
PM-PM-1037-N-A1,44890715.38
PM-PB-1132-N-A1,46196366.96
PM-PB-1115-N-A1,96123183.02
PM-PM-1046-N-A1,51291680.510000005
PM-PB-1076-N-A1,85473617.96
PM-PM-1110-N-A1,44782012.73
PM-PB-1159-N-A1,95427504.92
PM-PB-1153-N-A1,80932283.41999999
PM-PB-1108-N-A1,82117310.61
PM-PM-1061-N-A1,66401361.09
PM-PM-1062-N-A1,86118892.37
PM-PM-1124-N-A1,48838655.239999995
PM-PM-1096-N-A1,52004427.0
PM-PM-1162-N-A1,55726916.09
PM-PM-1087-N-A1,51607902.33
PM-PM-1129-N-A1,51032302.28
PM-PM-1078-N-A1,47412498.910000004
PM-PM-1094-N-A1,51548574.679999985
PM-PB-1060-N-A1,92464285.88000001
PM-PM-1156-N-A1,57532576.06999999
PM-PM-1055-N-A1,87791761.04
PM-PM-1032-N-A1,53664269.51
PM-PM-1142-N-A1,57329692.51
PM-PM-1102-N-A1,54568894.25
PM-PB-1121-N-A1,73265881.46000001
PM-PB-1151-N-A1,64126583.76
PM-PB-1158-N-A1,50499241.660000004
PM-PB-1083-N-A1,65310784.95999999
PM-PB-1142-N-A1,75864915.74000001
PM-PB-1088-N-A1,107505216.89000002
PM-PB-1152-N-A1,60408065.099999994
PM-PB-1154-N-A1,78808323.64
PM-PM-1134-N-A1,54142024.379999995
PM-PM-1086-N-A1,44569951.93000001
PM-PM-1100-N-A1,43313029.43
PM-PM-1107-N-A1,50291385.06000001
PM-PM-1111-N-A1,44083503.3
PM-PM-1099-N-A1,51474085.09
PM-PM-1111-T-A1,41936298.17
PM-PB-1026-T-A1,64415010.06000001
PM-PB-1145-T-A1,58135111.63
PM-PB-1144-T-A1,48661696.43
PM-PM-1056-T-A1,55111355.54
PM-PM-1081-T-A1,35645449.440000005
PM-PM-1097-T-A1,48527750.050000004
PM-PB-1142-T-A1,62190125.06999999
PM-PM-1153-T-A1,49789244.719999984
PM-PB-1012-T-A1,56334051.99
PM-PB-1063-T-A1,102403251.78999999
PM-PM-1057-T-A1,77425542.32
PM-PM-1156-T-A1,52417843.370000005
PM-PM-1036-T-A1,25841998.87
PM-PB-1045-T-A1,75852435.44
PM-PM-1055-T-A1,52595810.54000001
PM-PB-1143-T-A1,61082622.78
PM-PM-1061-T-A1,79896394.24000001
PM-PB-1108-T-A1,93930357.86
PM-PB-1081-T-A1,63794585.52
PM-PB-1147-T-A1,43679520.64000001
PM-PB-1146-T-A1,52441860.2
PM-PB-1076-T-A1,80888498.94
PM-PM-1008-T-A1,34126285.69
PM-PM-1086-T-A1,39418518.35
PM-PM-1059-T-A1,133407900.8
PM-PM-1003-T-A1,40365236.63
PM-PB-1022-T-A1,63901826.53999999
PM-PM-1068-T-A1,93248833.85
PM-PB-1058-T-A1,110533114.11
PM-PB-1061-T-A1,114700251.10000001
PM-PB-1066-T-A1,101877554.08
PM-PB-1100-T-A1,68509676.07000001
PM-PM-1075-T-A1,65874105.43000001
PM-PB-1139-T-A1,78055318.97
PM-PB-1160-T-A1,68502416.76
PM-PB-1067-T-A1,99433742.28
PM-PB-1127-T-A1,73488048.97999999
PM-PM-1046-T-A1,73205027.77000001
PM-PB-1086-T-A1,111357971.3
PM-PB-1056-T-A1,68616959.80000001
PM-PB-1123-T-A1,80734537.01
PM-PM-1053-T-A1,94865223.16
PM-PM-1069-T-A1,110465627.95
PM-PM-1014-T-A1,51841368.22
PM-PM-1047-T-A1,47150949.56
PM-PB-1051-T-A1,63335849.05
PM-PB-1055-T-A1,76630702.07
PM-PB-1149-T-A1,68415474.92999999
PM-PB-1120-T-A1,82099322.78
PM-PB-1106-T-A1,76970907.6
PM-PB-1114-T-A1,109609373.97
PM-PB-1091-T-A1,111263202.39999999
PM-PB-1041-T-A1,60215483.07
PM-PB-1128-T-A1,87242581.17999999
PM-PM-1042-T-A1,62384208.02
PM-PM-1091-T-A1,60706123.67
PM-PM-1034-T-A1,53949114.27
PM-PM-1093-T-A1,51199769.589999996
PM-PM-1080-T-A1,49582422.28
PM-PB-1009-T-A1,60993710.56
PM-PB-1025-T-A1,52536337.26999999
PM-PB-1021-T-A1,71581364.98
PM-PB-1110-T-A1,88120062.47
PM-PB-1122-T-A1,70100076.28999999
PM-PB-1158-T-A1,59115305.779999994
PM-PB-1119-T-A1,91896024.04000002
PM-PB-1111-T-A1,71018511.46
PM-PB-1126-T-A1,101712601.83
PM-PB-1090-T-A1,109946284.82
PM-PB-1118-T-A1,84463908.48
PM-PM-1033-T-A1,52535183.43
PM-PM-1099-T-A1,49238180.150000006
PM-PB-1113-T-A1,83800320.80999999
PM-PB-1117-T-A1,92385845.32000001
PM-PB-1124-T-A1,86363181.67
PM-PM-1100-T-A1,49218947.75
PM-PB-1029-T-A1,54516793.95
PM-PB-1109-T-A1,63781691.72
PM-PM-1044-T-A1,56544512.71000001
PM-PB-1048-T-A1,53144432.27
PM-PB-1033-T-A1,74871618.69
PM-PB-1049-T-A1,44575180.29
PM-PM-1074-T-A1,48812115.84
PM-PB-1098-T-A1,61449889.42999999
PM-PB-1105-T-A1,51376188.79
PM-PB-1112-T-A1,71618769.89999999
PM-PB-1141-T-A1,49890360.25
PM-PB-1087-T-A1,107455452.28999999
PM-PM-1041-T-A1,60985868.49999999
PM-PB-1083-T-A1,57025422.08
PM-PB-1078-T-A1,64507727.53
PM-PB-1013-T-A1,65849617.75999999
PM-PB-1011-T-A1,71993577.54999998
PM-PM-1013-T-A1,51688029.25000001
PM-PM-1134-T-A1,49250506.64
PM-PB-1027-T-A1,67996572.60999998
PM-PB-1060-T-A1,107113084.22
PM-PB-1069-T-A1,94232996.49000001
PM-PB-1034-T-A1,49839270.22
PM-PM-1105-T-A1,46212665.85
PM-PB-1101-T-A1,53128170.72
PM-PB-1043-T-A1,70175125.33
PM-PB-1088-T-A1,96028991.39000002
PM-PM-1110-T-A1,51014292.99
PM-PB-1036-T-A1,56890247.33999999
PM-PM-1058-T-A1,55968630.94
PM-PM-1078-T-A1,69653267.53
PM-PM-1030-T-A1,53273448.160000004
PM-PB-1116-T-A1,66264210.150000006
PM-PB-1103-T-A1,68751970.14
PM-PB-1010-T-A1,53022287.489999995
PM-PM-1007-T-A1,43499235.41
PM-PB-1050-T-A1,67088897.480000004
PM-PB-1092-T-A1,102179655.08999997
PM-PB-1047-T-A1,75637082.25
PM-PM-1085-T-A1,51221421.79
PM-PB-1157-T-A1,64180746.36
PM-PB-1064-T-A1,125402277.62999998
PM-PB-1023-T-A1,87378964.61999999
PM-PB-1140-T-A1,85601991.96999998
PM-PM-1072-T-A1,73916938.59
PM-PB-1148-T-A1,70401646.89000002
PM-PM-1141-T-A1,55876161.480000004
PM-PB-1150-T-A1,82517681.39000002
PM-PM-1096-T-A1,50984321.83
PM-PM-1027-T-A1,54664888.6
PM-PM-1162-T-A1,57371250.52000001
PM-PB-1015-T-A1,57179754.30000001
PM-PB-1121-T-A1,97469673.59
PM-PB-1035-T-A1,58662261.10000001
PM-PM-1083-T-A1,52691913.92
PM-PM-1095-T-A1,49218888.31
PM-PM-1064-T-A1,63987443.050000004
PM-PM-1109-T-A1,51512866.57
PM-PB-1151-T-A1,76568368.69999999
PM-PB-1046-T-A1,62202759.49
PM-PB-1014-T-A1,47629895.33
PM-PB-1032-T-A1,41718444.56000001
PM-PM-1129-T-A1,54047091.11
PM-PM-1124-T-A1,45945393.43
PM-PM-1026-T-A1,49433643.39000001
PM-PB-1075-T-A1,78621359.26999998
PM-PB-1016-T-A1,64500413.559999995
PM-PB-1054-T-A1,74517187.89999999
PM-PB-1070-T-A1,76144241.82000001
PM-PB-1074-T-A1,68559968.57
PM-PB-1030-T-A1,65652826.379999995
PM-PB-1028-T-A1,63138540.14
PM-PM-1126-T-A1,47834265.25
PM-PM-1070-T-A1,99532053.53
PM-PB-1068-T-A1,111538719.75
PM-PB-1107-T-A1,81258973.36999999
PM-PM-1113-T-A1,42928779.739999995
PM-PB-1082-T-A1,88220174.29
PM-PB-1077-T-A1,74143426.66
PM-PB-1093-T-A1,63002753.50000001
PM-PM-1107-T-A1,48644400.150000006
PM-PM-1023-T-A1,52666767.15
PM-PM-1087-T-A1,52098099.85
PM-PB-1071-T-A1,112114269.21999998
PM-PB-1102-T-A1,55058403.60000001
PM-PB-1040-T-A1,52556099.31000001
PM-PB-1031-T-A1,58007444.11
PM-PM-1102-T-A1,47467335.86
PM-PM-1032-T-A1,53387533.15
PM-PB-1159-T-A1,49882038.110000014
PM-PB-1153-T-A1,68377261.74
PM-PB-1085-T-A1,74308482.88
PM-PB-1152-T-A1,65016798.31999999
PM-PM-1048-T-A1,50981607.9
PM-PM-1022-T-A1,50652152.48000001
PM-PM-1006-T-A1,52835860.050000004
PM-PM-1073-T-A1,88652741.35000001
PM-PB-1065-T-A1,108729018.18
PM-PM-1094-T-A1,41339485.29000001
PM-PB-1052-T-A1,61889668.79000001
PM-PB-1044-T-A1,55453993.72
PM-PB-1059-T-A1,80064896.76
PM-PB-1024-T-A1,66051365.78
PM-PB-1154-T-A1,61072375.39
PM-PM-1079-T-A1,56835515.44
PM-PM-1035-T-A1,56546341.22
PM-PM-1024-T-A1,40148643.20000001
PM-PB-1132-T-A1,71954144.19
